coach,team,year_w_team,season
Rick Carlisle,DAL,6,2013-2014
Brian Shaw,DEN,1,2013-2014
Maurice Cheeks,DET,1,2013-2014
John Loyer,DET,1,2013-2014
Mark Jackson,GSW,3,2013-2014
Kevin McHale,HOU,3,2013-2014
Frank Vogel,IND,4,2013-2014
Doc Rivers,LAC,1,2013-2014
Mike D'Antoni,LAL,2,2013-2014
Dave Joerger,MEM,1,2013-2014
Erik Spoelstra,MIA,6,2013-2014
Larry Drew,MIL,1,2013-2014
Rick Adelman,MIN,3,2013-2014
Monty Williams,NOP,4,2013-2014
Mike Woodson,NYK,3,2013-2014
Scott Brooks,OKC,6,2013-2014
Jacque Vaughn,ORL,2,2013-2014
Brett Brown,PHI,1,2013-2014
Jeff Hornacek,PHO,1,2013-2014
Terry Stotts,POR,2,2013-2014
Michael Malone,SAC,1,2013-2014
Gregg Popovich,SAS,18,2013-2014
Dwane Casey,TOR,3,2013-2014
Tyrone Corbin,UTA,4,2013-2014
Randy Wittman,WAS,3,2013-2014
Mike Budenholzer,ATL,2,2014-2015
Brad Stevens,BOS,2,2014-2015
Lionel Hollins,BRK,1,2014-2015
Tom Thibodeau,CHI,5,2014-2015
Steve Clifford,CHO,2,2014-2015
David Blatt,CLE,1,2014-2015
Rick Carlisle,DAL,7,2014-2015
Brian Shaw,DEN,2,2014-2015
Melvin Hunt,DEN,1,2014-2015
Stan Van Gundy,DET,1,2014-2015
Steve Kerr,GSW,1,2014-2015
Kevin McHale,HOU,4,2014-2015
Frank Vogel,IND,5,2014-2015
Doc Rivers,LAC,2,2014-2015
Byron Scott,LAL,1,2014-2015
Dave Joerger,MEM,2,2014-2015
Erik Spoelstra,MIA,7,2014-2015
Jason Kidd,MIL,1,2014-2015
Flip Saunders,MIN,11,2014-2015
Monty Williams,NOP,5,2014-2015
Derek Fisher,NYK,1,2014-2015
Scott Brooks,OKC,7,2014-2015
Jacque Vaughn,ORL,3,2014-2015
James Borrego,ORL,1,2014-2015
Brett Brown,PHI,2,2014-2015
Jeff Hornacek,PHO,2,2014-2015
Terry Stotts,POR,3,2014-2015
Michael Malone,SAC,2,2014-2015
Tyrone Corbin,SAC,1,2014-2015
George Karl,SAC,1,2014-2015
Gregg Popovich,SAS,19,2014-2015
Dwane Casey,TOR,4,2014-2015
Quin Snyder,UTA,1,2014-2015
Randy Wittman,WAS,4,2014-2015
Mike Budenholzer,ATL,3,2015-2016
Brad Stevens,BOS,3,2015-2016
Lionel Hollins,BRK,2,2015-2016
Tony Brown,BRK,1,2015-2016
Fred Hoiberg,CHI,1,2015-2016
Steve Clifford,CHO,3,2015-2016
David Blatt,CLE,2,2015-2016
Tyronn Lue,CLE,1,2015-2016
Rick Carlisle,DAL,8,2015-2016
Michael Malone,DEN,1,2015-2016
Stan Van Gundy,DET,2,2015-2016
Steve Kerr,GSW,2,2015-2016
Kevin McHale,HOU,5,2015-2016
J.B. Bickerstaff,HOU,1,2015-2016
Frank Vogel,IND,6,2015-2016
Doc Rivers,LAC,3,2015-2016
Byron Scott,LAL,2,2015-2016
Dave Joerger,MEM,3,2015-2016
Erik Spoelstra,MIA,8,2015-2016
Jason Kidd,MIL,2,2015-2016
Sam Mitchell,MIN,1,2015-2016
